backbone,dataset,method,alpha,direction,nprobe,nlist,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,1000,0.9936,0.9478,678.68,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,64,71,0,0.6305,0.751,4810.91,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,64,71,100,0.988,0.751,3104.26,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,64,71,200,0.9963,0.9148,3067.8,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,64,71,500,0.9992,0.9798,1129.39,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,64,71,1000,0.9996,0.9942,658.92,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,8,71,0,0.5703,0.6968,36159.38,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,8,71,100,0.9261,0.6968,10459.33,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,8,71,200,0.9344,0.8067,7114.83,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,8,71,500,0.9464,0.8515,1517.79,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,image->text,8,71,1000,0.9489,0.8609,1296.85,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,0,0.5321,0.6496,33606.4,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,100,0.906,0.6496,10322.57,136,5000,1024,42
